Vendor ID,Name,Category,Risk Score,Risk Tier,Anomaly Type,Severity,Recommended Action,Contract End,Last Assessment
VND-0331,Ross-Clark,Payment Processor,13.0,Medium,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2023-11-17,2026-03-23
VND-0372,"Reynolds, Castro and Valdez",Data Analytics,13.0,Medium,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2023-03-09,2026-11-18
VND-0265,Serrano-Garcia,Contractor,12.8,Medium,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2026-02-02,2026-08-26
VND-0073,Higgins and Sons,Cloud Provider,12.7,Medium,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2024-12-25,2025-10-13
VND-0319,Burke-Russell,Consulting,12.5,Medium,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2026-08-10,2026-07-07
VND-0145,Cardenas PLC,Software Vendor,12.2,Medium,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2025-02-23,2026-08-25
VND-0154,"Ramsey, Newton and Johnson",Contractor,12.2,Medium,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2024-01-26,2026-11-02
VND-0385,"Ford, Morris and Sandoval",Software Vendor,12.2,Medium,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2025-12-24,2026-05-27
VND-0110,Brewer-Rogers,Payment Processor,12.1,Medium,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2028-01-23,2026-07-08
VND-0081,Washington Ltd,Cloud Provider,12.0,Medium,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2024-11-07,2026-01-27
VND-0094,Nelson-Johnson,Payment Processor,12.0,Medium,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2023-04-15,2026-08-05
VND-0195,Thompson Inc,Security Vendor,12.0,Medium,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2023-02-16,2026-05-16
VND-0203,Weber-Walker,Consulting,12.0,Medium,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2026-10-16,2026-08-31
VND-0360,Freeman-Caldwell,Consulting,11.8,Medium,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2023-07-20,2026-02-03
VND-0066,"Collins, Fleming and Lopez",Software Vendor,11.5,Medium,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2023-09-09,2025-12-08
VND-0368,"Townsend, Gray and Alexander",Contractor,11.5,Medium,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2025-06-06,2026-07-10
VND-0043,Brown Inc,IT Services,11.4,Medium,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2027-05-30,2026-11-05
VND-0141,"Lee, Walker and Mcgee",IT Services,11.4,Medium,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2025-01-12,2025-12-12
VND-0376,Hernandez-Green,Data Analytics,11.4,Medium,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2028-01-05,2026-08-16
VND-0095,Moreno Ltd,Consulting,11.2,Medium,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2026-06-30,2025-01-28
VND-0114,Gray-Rodriguez,Contractor,11.0,Medium,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2024-06-02,2025-08-05
VND-0002,"Weber, Smith and Mcguire",HR Platform,10.8,Medium,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2023-02-09,2026-12-19
VND-0276,Jimenez-Lopez,Contractor,10.8,Medium,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2023-01-28,2025-07-16
VND-0285,"Deleon, Ortiz and Lin",IT Services,10.6,Medium,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2025-01-12,2026-01-03
VND-0335,Davis and Sons,Software Vendor,10.5,Medium,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2028-03-30,2025-10-14
VND-0344,"Dunlap, Reynolds and Schneider",Contractor,10.5,Medium,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2027-11-22,2025-11-21
VND-0181,Chavez-Case,Payment Processor,10.4,Low,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2027-08-18,2026-09-22
VND-0262,"Sanchez, Gould and Perez",Cloud Provider,10.4,Low,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2023-05-09,2024-07-24
VND-0102,Sanders-Morales,Backup Provider,10.0,Low,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2026-12-03,2026-10-03
VND-0138,Armstrong Inc,Consulting,10.0,Low,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2028-02-28,2026-01-21
VND-0351,Holder Ltd,Software Vendor,10.0,Low,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2025-05-22,2025-10-19
VND-0394,Hernandez LLC,Cloud Provider,10.0,Low,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2028-04-02,2026-08-30
VND-0045,Goodman-Williams,Payment Processor,9.8,Low,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2023-12-29,2025-07-09
VND-0079,Martin-Carpenter,Payment Processor,9.4,Low,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2023-05-02,2026-04-05
VND-0084,Rose-Austin,Security Vendor,9.3,Low,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2027-05-05,2026-07-12
VND-0226,Owen Group,IT Services,9.0,Low,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2024-10-11,2025-09-18
VND-0236,"Moore, Barrera and Barnes",Contractor,9.0,Low,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2027-07-21,2025-07-17
VND-0247,"Mathis, Lee and English",Contractor,8.8,Low,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2024-05-09,2024-01-08
VND-0333,"Miller, Perez and Fuentes",Security Vendor,8.8,Low,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2027-08-09,2026-07-02
VND-0123,Shah LLC,Cloud Provider,8.5,Low,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2027-12-26,2025-11-21
VND-0249,"West, Brooks and Andrews",IT Services,8.5,Low,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2025-03-07,2025-10-21
VND-0290,"Mckinney, Bowen and Rice",Cloud Provider,8.5,Low,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2026-03-26,2026-01-10
VND-0308,Haynes-Williams,Cloud Provider,8.5,Low,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2023-10-11,2025-06-24
VND-0328,Martin and Sons,Consulting,8.5,Low,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2028-08-18,2024-07-02
VND-0346,Strickland PLC,Contractor,8.5,Low,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2028-05-07,2026-01-09
VND-0007,"Washington, Graves and Martinez",Contractor,8.0,Low,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2027-01-16,2026-03-23
VND-0013,Stone-Stephenson,Software Vendor,8.0,Low,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2024-03-03,2025-12-05
VND-0083,Schwartz-Mahoney,Payment Processor,8.0,Low,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2028-08-06,2026-04-13
VND-0156,Blake-Mccullough,Consulting,8.0,Low,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2024-11-12,2026-07-06
VND-0035,"Martinez, Sharp and Stevens",Cloud Provider,7.9,Low,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2025-04-02,2026-05-30
VND-0324,Smith-Jackson,Contractor,7.9,Low,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2025-10-20,2025-01-14
VND-0006,"Lee, Hall and Parker",Security Vendor,7.8,Low,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2024-09-26,2026-03-27
VND-0378,Wilcox Inc,Backup Provider,7.7,Low,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2028-04-10,2024-08-31
VND-0169,Arnold and Sons,Contractor,7.5,Low,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2026-01-04,2026-03-26
VND-0387,"Sloan, Perkins and Sims",Cloud Provider,7.2,Low,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2023-11-10,2025-03-16
VND-0019,Ferrell-Pena,Software Vendor,7.0,Low,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2027-01-10,2026-11-16
VND-0136,Jackson Inc,IT Services,7.0,Low,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2025-10-29,2026-01-19
VND-0366,Hodge-Mora,Software Vendor,7.0,Low,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2023-06-28,2024-12-08
VND-0396,Hunter Inc,Security Vendor,7.0,Low,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2025-06-25,2026-01-01
VND-0022,"Jones, Robles and Freeman",Consulting,6.8,Low,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2023-12-18,2026-12-17
VND-0168,"Robinson, Richardson and White",Consulting,6.7,Low,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2028-11-12,2026-07-22
VND-0362,Stewart-Harvey,Cloud Provider,6.6,Low,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2024-02-12,2026-05-08
VND-0044,Schultz and Sons,Cloud Provider,6.5,Low,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2023-12-28,2026-06-22
VND-0146,Long-Watts,Payment Processor,6.5,Low,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2023-06-17,2024-11-02
VND-0191,"Allen, Peters and Patterson",IT Services,6.5,Low,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2027-09-26,2026-01-19
VND-0327,Cross-Goodwin,Security Vendor,6.5,Low,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2026-05-13,2026-07-29
VND-0049,Villa-Rodriguez,Payment Processor,6.4,Low,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2026-08-02,2026-10-03
VND-0113,Williams-Walsh,Contractor,6.0,Low,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2027-11-21,2024-03-24
VND-0189,"Ortega, Perez and Palmer",IT Services,6.0,Low,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2025-11-04,2024-12-14
VND-0267,Petty PLC,Data Analytics,6.0,Low,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2028-02-20,2024-01-14
VND-0363,Roberts Ltd,Backup Provider,6.0,Low,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2027-04-26,2025-12-21
VND-0386,Cole-Williams,Consulting,6.0,Low,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2023-02-04,2025-10-21
VND-0052,Huffman PLC,Cloud Provider,5.7,Low,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2024-02-14,2026-11-06
VND-0216,"Wall, Jimenez and Daugherty",Data Analytics,5.5,Low,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2026-08-01,2026-06-21
VND-0342,Valdez Inc,Contractor,5.5,Low,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2027-10-15,2024-01-21
VND-0008,Gallegos-Warren,Software Vendor,5.4,Low,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2025-09-26,2025-08-19
VND-0032,Lyons-Cruz,Software Vendor,5.0,Low,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2023-08-06,2024-10-09
VND-0315,Carrillo PLC,IT Services,5.0,Low,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2027-12-23,2024-01-26
VND-0063,Mathews-Myers,IT Services,4.5,Low,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2026-07-13,2026-04-18
VND-0343,Howard LLC,Software Vendor,4.5,Low,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2028-07-12,2025-10-14
VND-0239,Anderson-Mcpherson,Cloud Provider,4.2,Low,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2028-08-28,2024-10-09
VND-0065,"Thomas, Myers and Butler",Contractor,3.8,Low,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2027-07-28,2024-10-30
VND-0147,Mendoza PLC,Software Vendor,3.8,Low,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2025-04-21,2025-08-31
VND-0300,"Perez, Andrews and Hernandez",Software Vendor,3.6,Low,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2028-05-02,2025-11-13
VND-0106,"Chen, Harper and Boyd",Payment Processor,3.5,Low,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2024-03-20,2024-03-30
VND-0325,"Smith, Clark and Bennett",Software Vendor,2.8,Low,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2026-04-19,2025-07-09
VND-0157,Webster Group,Software Vendor,17.9,High,HIGH_RISK_SCORE,HIGH,Escalate to risk committee for formal review.,2024-09-25,2024-05-27
VND-0320,Mann-Stanley,Contractor,17.4,High,HIGH_RISK_SCORE,HIGH,Escalate to risk committee for formal review.,2023-04-11,2026-09-24
VND-0205,"Harris, Andrews and Soto",Security Vendor,16.0,High,EXPIRED_CERTIFICATION,HIGH,Request updated certification from vendor within 30 days.,2028-08-17,2026-10-31
VND-0295,Hayes-Nixon,Data Analytics,15.8,High,EXPIRED_CERTIFICATION,HIGH,Request updated certification from vendor within 30 days.,2028-11-04,2025-05-03
VND-0251,"Murphy, Anderson and Williams",Backup Provider,15.6,High,EXPIRED_CERTIFICATION,HIGH,Request updated certification from vendor within 30 days.,2023-08-19,2025-05-31
VND-0284,Oliver PLC,Backup Provider,15.6,High,HIGH_RISK_SCORE,HIGH,Escalate to risk committee for formal review.,2023-05-03,2025-03-03
VND-0356,Duran-Garcia,Data Analytics,15.2,High,EXPIRED_CERTIFICATION,HIGH,Request updated certification from vendor within 30 days.,2025-07-10,2024-02-16
VND-0266,"Jackson, Cooper and Wyatt",Software Vendor,14.8,Medium,HIGH_RISK_SCORE,HIGH,Escalate to risk committee for formal review.,2027-07-02,2025-02-12
VND-0159,Morgan and Sons,Contractor,14.4,Medium,HIGH_RISK_SCORE,HIGH,Escalate to risk committee for formal review.,2025-08-18,2024-12-06
